department;municipality;postal_code;neighbourhood
Managua;Managua;11149;Bello Horizonte Etapa 6
Managua;Managua;11151;Nueva Libia
Managua;Managua;11152;Villa Progreso
Managua;Managua;11153;Villa Rubén Darío
Managua;Managua;11154;Rafaela Herrera
Managua;Managua;11155;Mártires De Ayapal
Managua;Managua;11156;Villa San Jacinto
Managua;Managua;11157;Laureano Mairena
Managua;Managua;11158;Villa Fraternidad
Managua;Managua;11159;Anexo Villa Fraternidad
Managua;Managua;11161;Villa Japón
Managua;Managua;11162;9 De Junio
Managua;Managua;11163;Anexo Georgino Andrade
Managua;Managua;11164;Georgino Andrade
Managua;Managua;11165;Barrio Primero De Mayo
Managua;Managua;11166;Barrio Venezuela
Managua;Managua;11167;Ducuali
Managua;Managua;11168;Paula Corea
Managua;Managua;11169;El Dorado
Managua;Managua;11171;10 De Junio
Managua;Managua;11172;Reparto Colombia
Managua;Managua;11173;Don Bosco
Managua;Managua;11174;Santa Margarita
Managua;Managua;11175;Santa Julia
Managua;Managua;11176;Farabundo Martí
Managua;Managua;11177;Francisco Aguilar
Managua;Managua;11178;Habana 2 Maria
Managua;Managua;11179;Colonia Nicarao
Managua;Managua;11181;Carlos Aguirre
Managua;Managua;11182;Unión Soviética
Managua;Managua;11183;Rubenia
Managua;Managua;11184;Villa Austria
Managua;Managua;11185;Américas 1
Managua;Managua;11186;Villa Bulgaria
Managua;Managua;11187;Mercado Ivan Montenegro
Managua;Managua;11187;8 De Marzo
Managua;Managua;11188;Villa Revolución
Managua;Managua;11188;Américas 3
Managua;Managua;11189;10 De Enero
Managua;Managua;11191;Reparto Lopez
Managua;Managua;11192;Jericob
Managua;Managua;11193;Villa Feliz
Managua;Managua;11194;Sector Sur Villa Reconciliación
Managua;Managua;11195;19 De Febrero
Managua;Managua;11196;Betancur
Managua;Managua;11197;Sector Norte Laureles Norte
Managua;Managua;11198;Laureles Norte
Managua;Managua;11199;Sector Sur 1 Mercado Mayoreo
Managua;Managua;11201;Reparto Simón Bolívar
Managua;Managua;11202;Sector Sur 2 Mercado Mayoreo
Managua;Managua;11203;Planes Del Doral
Managua;Managua;11204;Praderas Del Doral
Managua;Managua;11205;Gertrudis Áreas
Managua;Managua;11206;31 De Diciembre
Managua;Managua;11207;Sector Norte Laureles Sur
Managua;Managua;11208;Cortijo De La Sabana
Managua;Managua;11209;La Curva Sabana Grande
Managua;Managua;11211;Villa Dignidad
Managua;Managua;11212;La Maravilla
Managua;Managua;11212;Sector Norte Sabana Grande
Managua;Managua;11213;Sector Este Sabana Grande
Managua;Managua;11214;Sector Norte Comarca San Cristóbal
Managua;Managua;11215;Sector Noreste Comarca San Cristóbal
Managua;Managua;12001;San Sebastián
Managua;Managua;12002;Manchester
Managua;Managua;12003;Cristo Del Rosario
Managua;Managua;12004;Julio Buitrago
Managua;Managua;12005;Santa Ana Sur
Managua;Managua;12006;Santa Ana Norte
Managua;Managua;12007;Acahualinca
Managua;Managua;12008;Alemania Democrática
Managua;Managua;12009;Barrio Cuba
Managua;Managua;12011;Rubén Darío
Managua;Managua;12012;Francisco Morazán
Managua;Managua;12013;Rafael Ríos
Managua;Managua;12014;Sector Norte Linda Vista
Managua;Managua;12015;Sector Occidental Lago De Managua
Managua;Managua;12016;La Chureca
Managua;Managua;12017;Virgen De Guadalupe
Managua;Managua;12018;Sector Norte Las Brisas
Managua;Managua;12019;Linda Vista Norte
Managua;Managua;12021;Las Brisas
Managua;Managua;12022;Carlos Núñez Los Martinez
Managua;Managua;12023;Valle Dorado
Managua;Managua;12024;Sector Cerro Los Martinez
Managua;Managua;12025;Sector Cuesta Del Plomo
Managua;Managua;12026;Sector Industrial La Refinería
Managua;Managua;12027;Ulsa
Managua;Managua;12028;Sector Paseo Las Brisa
Managua;Managua;12029;Los Arcos
Managua;Managua;12031;Linda Vista Sur
Managua;Managua;12032;Loma Verde
Managua;Managua;12033;El Seminario
Managua;Managua;12034;El Cortijo
Managua;Managua;12035;Dignidad 4 De Mayo
Managua;Managua;12036;Monseñor Lezcano Oeste
Managua;Managua;12037;Monseñor Lezcano Este
Managua;Managua;12038;Javier Cuadra
Managua;Managua;12039;La Reforma
Managua;Managua;12041;San Jose
Managua;Managua;12042;San Antonio
Managua;Managua;12043;San Pedro
Managua;Managua;12044;El Bóer
Managua;Managua;12045;Che Guevara
Managua;Managua;12046;Martha Quezada
Managua;Managua;12047;William Diaz
Managua;Managua;12048;El Carmen
Managua;Managua;12049;Colonia Mantica
Managua;Managua;12049;Callejón Zelaya
Managua;Managua;12051;Las Palmas
Managua;Managua;12052;Manuel Olivares
Managua;Managua;12053;Reparto España
Managua;Managua;12054;Miraflores 1
Managua;Managua;12055;Miraflores 2
Managua;Managua;12056;Juan Emilio Menocal
Managua;Managua;12057;Sector El Seminario
Managua;Managua;12058;Sector Laguna De Asososca
Managua;Managua;12059;Sector Este Laguna De Asososca
Managua;Managua;12061;Dinamarca
Managua;Managua;12062;Batahola Norte
Managua;Managua;12063;Jardines De Managua
Managua;Managua;12064;Edgard Lang
Managua;Managua;12065;Altagracia Norte
Managua;Managua;12066;Bolonia
Managua;Managua;12067;San Martin
Managua;Managua;12068;25 Aniversario
Managua;Managua;12069;San Ignacio Waslala
Managua;Managua;12071;Embusa 1 Y 2
Managua;Managua;12072;Anexo Batahola Sur
Managua;Managua;12073;Batahola Sur
Managua;Managua;12074;Llamas Del Bosque
Managua;Managua;12075;Los Madroños
Managua;Managua;12076;Daniel Chavarría
Managua;Managua;12077;Nora Astorga
Managua;Managua;12078;Santa Ana Nicalit
Managua;Managua;12079;Altagracia Sur
Managua;Managua;12081;Bertha Calderon
Managua;Managua;12082;Recreo Norte
Managua;Managua;12083;Bosques De Bolonia
Managua;Managua;12084;Sector Plaza España
Managua;Managua;12085;Plaza España Costado Sur
Managua;Managua;12086;Sector El Retiro
Managua;Managua;12087;Jonathan Gonzalez
Managua;Managua;12088;Villa Argentina
Managua;Managua;12089;Golfo Pérsico
Managua;Managua;12091;Sector Enel Central
Managua;Managua;12092;Enrique Bermudez 380
Managua;Managua;12093;Carlos Núñez 380
Managua;Managua;12094;Sector Oeste Avenida Naciones Unidas
Managua;Managua;12095;Rene Cisneros
Managua;Managua;12096;Recreo Sur
Managua;Managua;12097;Andrés Castro
Managua;Managua;12098;Centro Cívico
Managua;Managua;12099;Sector Mercado Israel Lewites
Managua;Managua;12101;Sector Pali Zumen
Managua;Managua;12102;Sector Centro Comercial Nejapa
Managua;Managua;12103;Enrique Schmidt Nejapa
Managua;Managua;12104;Belmonte
Managua;Managua;12105;David Tejada
Managua;Managua;12106;Sector Cerro Tabuya
Managua;Managua;12107;Sector Parque Las Piedrecitas
Managua;Managua;12108;Motastepe
Managua;Managua;12109;Mirna Ugarte
Managua;Managua;12111;Las Piedrecitas
Managua;Managua;12112;Héroes Y Mártires De Ayapal
Managua;Managua;13001;Casimiro Sotelo
Managua;Managua;13002;Hialeah 1 Y 2
Managua;Managua;13002;Sector Instituto Salomón De La Selva
Managua;Managua;13004;Sector Holiday Inn
Managua;Managua;13005;Sector Ofiplaza
Managua;Managua;13006;Colonia Del Periodista
Managua;Managua;13007;La Esperanza
Managua;Managua;13008;El Pilar
Managua;Managua;13009;Sector Hospital Bertha Calderón
Managua;Managua;13011;Héroes Y Mártires Del Bocay
Managua;Managua;13011;Colonia Independencia
Managua;Managua;13012;Tierra Prometida
Managua;Managua;13013;Sector Banco Central
Managua;Managua;13014;Frawley
Managua;Managua;13015;Reisel
Managua;Managua;13016;Sector Laguna De Nejapa
Managua;Managua;13017;Sector Este Laguna De Nejapa
Managua;Managua;13018;Sector Noroeste Pista Suburbana
Managua;Managua;13019;Lomas De San Judas
Managua;Managua;13021;Herlinda López
Managua;Managua;13022;Luis Alfonso Velásquez 1
Managua;Managua;13023;Luis Alfonso Velásquez 2
Managua;Managua;13024;San Judas
Managua;Managua;13025;Los Martínez San Judas
Managua;Managua;13026;Sector Este San Judas
Managua;Managua;13027;San Pedro San Judas
Managua;Managua;13028;Vista Hermosa
Managua;Managua;13029;Martin Luter King
Managua;Managua;13031;Paseo Del Valle
Managua;Managua;13032;San Francisco De Asís
Managua;Managua;13033;Memorial Sandino
Managua;Managua;13034;Bosques De Nejapa
Managua;Managua;13035;Sector Suroeste Colonia El Periodista
Managua;Managua;13036;Altos De Nejapa
Managua;Managua;13037;Hialeah 3
Managua;Managua;13038;Hialeah 4
Managua;Managua;13039;Sector Oeste Lomas De San Ángel
Managua;Managua;13041;Villa San Ángel
Managua;Managua;13042;Lomas De San Ángel
Managua;Managua;13043;Lomas De Monserrat
Managua;Managua;13044;Catalina
Managua;Managua;13045;Acrópolis
Managua;Managua;13046;Sector Noroeste Rotonda Universitaria
Managua;Managua;13047;Lomas Del Consuelo
Managua;Managua;13048;Sector Colegio Americano
Managua;Managua;13049;Sector Suroeste Rotonda Universitaria
Managua;Managua;13051;Colonia Miguel Bonilla
Managua;Managua;13052;Sector Mokorón
Managua;Managua;13053;Sector Norte Comarca Los Ladinos
Managua;Managua;13054;Sector Sur Memorial Sandino
Managua;Managua;13055;Marvin Marín
Managua;Managua;13056;Villa Roma
Managua;Managua;13057;Omar Torrijos - Loma Linda
Managua;Managua;13058;Lomas De Buenos Aires
Managua;Managua;13059;Sector Suroeste Pista Suburbana
Managua;Managua;13061;San Patricio
Managua;Managua;13062;Kilocho
Managua;Managua;13063;Germán Pomares -Ticomo
Managua;Managua;13064;Arges Sequeira
Managua;Managua;13065;Sector Noreste Valle De Ticomo
Managua;Managua;13066;Villa Nueva
Managua;Managua;13067;Lomas Del Sur
Managua;Managua;13068;Buena Vista
Managua;Managua;13069;Bertilda Olegaria
Managua;Managua;13071;La Zacatera
Managua;Managua;13072;Los Laureles- Camilo Ortega
Managua;Managua;13073;Sector Sureste Valle Ticomo
Managua;Managua;13074;William Galeano
Managua;Managua;13075;Camilo Ortega
Managua;Managua;13075;Torres Molina
Managua;Managua;13076;Anexo Camilo Ortega
Managua;Managua;13077;Sector Sur Loma Linda
Managua;Managua;13078;Loma Linda
Managua;Managua;13078;Sierra Maestra
Managua;Managua;13079;Anexo Villa Roma
Managua;Managua;13081;Sector Noreste Comarca Pochocuape
Managua;Managua;13082;Sector Noroeste Comarca San Isidro Libertador
Managua;Managua;13083;Sector Norte Comarca San Isidro Libertador
Managua;Managua;13084;Sector Sur Comarca Los Ladinos
Managua;Managua;13085;El Progreso
Managua;Managua;13086;Sector Norte Comarca Las Viudas
Managua;Managua;13087;Sector Sur Comarca Las Viudas
Managua;Managua;13088;Sector Sur Comarca San Isidro Libertador
Managua;Managua;13089;Sector Sur Comarca Pochocuape
Managua;Managua;13091;Sector Sur Comarca Ticomo
Managua;Managua;13092;Sector Sur Valle Ticomo
Managua;Managua;13093;Sector Valle De Ticomo
Managua;Managua;13094;Sector Sur Laguna Nejapa
Managua;Managua;13095;Nejapa
Managua;Managua;13096;Sector Norte Comarca Nejapa
Managua;Managua;13097;German Pomares- Nejapa
Managua;Managua;13098;Delagneau
Managua;Managua;13099;Villa Galicia
Managua;Managua;13101;Sector Noroeste Altos De Ticomo
Managua;Managua;13102;Sector Sur Comarca Nejapa
Managua;Managua;13103;Bosques De Miraflores
Managua;Managua;13104;Sector Oeste Comarca Nejapa
Managua;Managua;13105;Sector Norte Cedro Galán
Managua;Managua;13106;Sector Central Comarca Cedro Galán
Managua;Managua;13107;Sector Norte Comarca Chiquilistagua
Managua;Managua;13108;Lomas De Maromo
Managua;Managua;13109;Sector Central Comarca Chiquilistagua
Managua;Managua;13111;Vista Esmeralda
Managua;Managua;13112;Sector Oeste Comarca Chiquilistagua
Managua;Managua;13113;Casa Blanca
Managua;Managua;13114;Monte Verde
Managua;Managua;13115;Planetarium
Managua;Managua;13116;Sector Este Comarca Chiquilistagua
Managua;Managua;13117;Sector Suroeste Comarca Cedro Galán
Managua;Managua;13118;Sector Sur Comarca Cedro Galán
Managua;Managua;13119;Sector Noroeste Comarca San Jose De La Cañada
Managua;Managua;13121;Altos De Ticomo
Managua;Managua;13122;Lomas De Ticomo
Managua;Managua;13123;Santa Anita
Managua;Managua;13124;Santa Anita 2
Managua;Managua;13125;Marcell Pallais
Managua;Managua;13125;Santa Isabel
Managua;Managua;13126;Sector Suroeste Santa Anita
Managua;Managua;13127;San Sebastián Sur
Managua;Managua;13128;Sector Este Comarca San Jose De La Cañada
Managua;Managua;13129;Sector Sureste Santa Isabel
Managua;Managua;13131;El Sosiego
Managua;Managua;13132;Samarkanda
Managua;Managua;13133;Villa Jacinto
Managua;Managua;13134;Sector Oeste Monte Tabor
Managua;Managua;13135;Serranías
Managua;Managua;13135;Las Carolinas
Managua;Managua;13136;Los Cocos
Managua;Managua;13137;Urbanización Ticomo Sur
Managua;Managua;13138;Sector Este Comarca Monte Tabor
Managua;Managua;13139;Las Jinotepes
Managua;Managua;13141;El Pedernal
